author,publications
E. Arruda,1
D. Pastore,1
C. M. Dias,1
F. Ourique,1
Waleed Ammar,1
Dirk Groeneveld,1
Chandra Bhagavatula,1
Iz Beltagy,1
Miles Crawford,1
Doug Downey,1
Jason Dunkelberger,1
Ahmed Elgohary,1
Sergey Feldman,1
Vu A. Ha,1
Rodney Michael Kinney,1
Sebastian Kohlmeier,1
Kyle Lo,1
Tyler C. Murray,1
Hsu-Han Ooi,1
Matthew E. Peters,1
Joanna L. Power,1
Sam Skjonsberg,1
Lucy Lu Wang,1
Christopher Wilhelm,1
Zheng Yuan,1
Madeleine van Zuylen,1
Oren Etzioni,1
R. Segall,1
G. Niu,1
Maad M. Mijwil,1
Dhamyaa Salim Mutar,1
Y. Filali,1
Karan Aggarwal,1
Humam Al-Shahwani,1
